#,Name   ,Effect,Type   ,Kind,Power,Accuracy,PP   
,,,,,,,
62,Aurora Beam,Has a 10% chance to lower the target's Attack by 1 stage.,Ice,Special,65,100%,20
63,Hyper Beam,The user recharges during its next turn; as a result until the end of the next turn the user becomes uncontrollable.,Normal,Special,150,90%,5
64,Peck,Deals damage with no additional effect.,Flying,Physical,35,100%,35
65,Drill Peck,Deals damage with no additional effect.,Flying,Physical,80,100%,20
66,Submission,The user receives 1/4 recoil damage.,Fighting,Physical,80,80%,25
67,Low Kick,Base power increases as the target's weight increases.,Fighting,Physical,50,100%,20
68,Counter,Almost always goes last; if an opponent strikes with a Physical attack before the user's turn the user retaliates for twice the damage it had endured. In double battles this attack targets the last opponent to hit the user with a Physical attack and cannot hit the user's teammate.,Fighting,Physical,50,100%,20
69,Seismic Toss,Does damage equal to user's level.,Fighting,Physical,50,100%,20
70,Strength,Deals damage with no additional effect.,Normal,Physical,80,100%,15
71,Absorb,Restores the user's HP by 1/2 of the damage inflicted on the target.,Grass,Special,20,100%,25
72,Mega Drain,Restores the user's HP by 1/2 of the damage inflicted on the target.,Grass,Special,40,100%,15
73,Leech Seed,The user steals 1/8 of the target's max HP until the target is switched out is KO'ed or uses Rapid Spin; does not work against Grass-type Pokemon or Pokemon behind Substitutes.,Grass,d-,0,90%,10
74,Growth,Raises the user's Attack and Special Attack by 1 stage. If the weather is Sun Growth raises Attack and SpAttk two stages each. ,Normal,a+,0,,40
75,Razor Leaf,Has a high critical hit ratio.,Grass,Physical,55,95%,25
76,SolarBeam,The user prepares on turn one becoming uncontrollable and then attacks on turn two. During Sunny Day this move fires immediately; during Rain Dance Sandstorm and Hail this move has half power.,Grass,Special,120,100%,10
77,PoisonPowder,Poisons the target.,Poison,d-,0,75%,35
78,Stun Spore,Paralyzes the target.,Grass,s-,0,75%,30
79,Sleep Powder,Puts the target to sleep.,Grass,s-,0,75%,15
80,Petal Dance,The user attacks uncontrollably for 2-3 turns and then gets confused.,Grass,Special,120,100%,10
81,String Shot,Lowers the target's Speed by 1 stage.,Bug,s-,0,95%,40
82,Dragon Rage,Always deals 40 points of damage.,Dragon,Special,40,100%,10
83,Fire Spin,Traps the target for 5-6 turns causing damage equal to 1/16 of its max HP each turn; this trapped effect can be broken by Rapid Spin. The target can still switch out if it is holding Shed Shell or uses Baton Pass or it uses U-Turn.,Fire,Special,35,85%,15
84,ThunderShock,Has a 10% chance to paralyze the target.,Electric,Special,40,100%,30
85,Thunderbolt,Has a 10% chance to paralyze the target.,Electric,Special,95,100%,15
86,Thunder Wave,Paralyzes the target. This move activates Motor Drive.,Electric,s-,0,100%,20
87,Thunder,Has a 30% chance to paralyze the target. It also has normal accuracy against mid-air Pokemon who have used Fly or Bounce. During Sunny Day this move has 50% accuracy. During Rain Dance this move will never miss under normal circumstances and has a 30% chance to hit through a target's Protect or Detect.,Electric,Special,120,70%,10
88,Rock Throw,Deals damage with no additional effect.,Rock,Physical,50,90%,15
89,Earthquake,Power doubles when performed against Pokemon using Dig.,Ground,Physical,100,100%,10
90,Fissure,The target faints; doesn't work on higher-leveled Pokemon.,Ground,Physical,0,30%,5
91,Dig,On the first turn the user digs underground becoming uncontrollable and evades all attacks. Earthquake and Magnitude can hit underground and gain doubled power. The user may also be hit underground if it was previously targeted by Lock-On or Mind Reader or if it is attacked by a Pokemon with No Guard. On the second turn the user attacks.,Ground,Physical,80,100%,10
92,Toxic,The target is badly poisoned with the damage caused by poison doubling after each turn. Toxic poisoning will remain with the Pokemon during the battle even after switching out.,Poison,d-,0,90%,10
93,Confusion,Has a 10% chance to confuse the target.,Psychic,Special,50,100%,25
94,Psychic,Has a 10% chance to lower the target's Special Defense by 1 stage.,Psychic,Special,90,100%,10
95,Hypnosis,Puts the target to sleep.,Psychic,s-,0,60%,20
96,Meditate,Raises the user's Attack by 1 stage.,Psychic,a+,0,,40
97,Agility,Raises the user's Speed by 2 stages.,Psychic,s+,0,,30
98,Quick Attack,Usually goes first.,Normal,Physical,40,100%,30
99,Rage,The user's Attack rises by 1 stage if attacked before its next move.,Normal,Physical,20,100%,20
100,Teleport,Escapes from wild battles; fails automatically in trainer and link battles.,Psychic,s+,0,,20
101,Night Shade,Does damage equal to user's level.,Ghost,Special,50,100%,15
102,Mimic,This move is temporarily replaced by the target's last move; the replacement move will have 5 PP and become part of the user's moveset until the user switches out or the battle ends. Mimic copies attacks even if they miss or the user has immunity toward their type; it cannot copy itself Struggle Transform Sketch Metronome or moves that the user already knows and it will fail if the target has yet to use a move.,Normal,a+,0,100%,10
103,Screech,Lowers the target's Defense by 2 stages.,Normal,d-,0,85%,40
104,Double Team,Raises the user's Evasion by 1 stage.,Normal,acc-,0,,15
105,Recover,Restores 1/2 of the user's max HP.,Normal,d+,0,,10
106,Harden,Raises the user's Defense by 1 stage.,Normal,d+,0,,30
107,Minimize,Raises the user's Evasion by 2 stage; however Stomp retains its normal accuracy and gains doubled power against Minimized Pokemon.,Normal,acc-,0,,20
108,SmokeScreen,Lowers the target's Accuracy by 1 stage.,Normal,acc-,0,100%,20
109,Confuse Ray,Confuses the target.,Ghost,d-,0,100%,10
110,Withdraw,Raises the user's Defense by 1 stage.,Water,d+,0,,40
111,Defense Curl,Raises the user's Defense by 1 stage; after one use of this move the user's starting base power is doubled for every use of Rollout or Ice Ball.,Normal,d+,0,,40
112,Barrier,Raises the user's Defense by 2 stages.,Psychic,d+,0,,30
113,Light Screen,All Pokemon in the user's party receive 1/2 damage from Special attacks for 5 turns. Light Screen will be removed from the user's field if an opponent's Pokemon uses Brick Break. It will also last for eight turns if its user is holding Light Clay. In double battles both Pokemon are shielded but damage protection is reduced from 1/2 to 1/3.,Psychic,sd+,0,,30
114,Haze,Eliminates any stat modifiers from all active Pokemon. The stat boosts from Choice Band Choice Lens and Choice Scarf are not affected.,Ice,d+,0,,30
115,Reflect,All Pokemon in the user's party receive 1/2 damage from Physical attacks for 5 turns. Reflect will be removed from the user's field if an opponent's Pokemon uses Brick Break. It will also last for eight turns if its user is holding Light Clay. In double battles both Pokemon are shielded but damage protection is reduced from 1/2 to 1/3.,Psychic,d+,0,,20
116,Focus Energy,Raises the user's chance for a Critical Hit by two domains.,Normal,a+,0,,30
117,Bide,Usually goes first for the duration of the move. The user absorbs all damage for two turns and then during the third turn the user inflicts twice the absorbed damage on its target. This move ignores the target's type and even hits Ghost-type Pokemon.,Normal,Physical,50,100%,10
118,Metronome,The user performs a randomly selected move; almost any move in the game could be picked. Metronome cannot generate itself Assist Chatter Copycat Counter Covet Destiny Bond Detect Endure Feint Focus Punch Follow Me Helping Hand Me First Mimic Mirror Coat Mirror Move Protect Sketch Sleep Talk Snatch Struggle Switcheroo Thief Trick or any move that the user already knows.,Normal,Status,0,,10
119,Mirror Move,The user performs the last move executed by its target; if applicable an attack's damage is calculated with the user's stats level and type(s). This moves fails if the target has not yet used a move. Mirror Move cannot copy Encore Struggle global moves affecting all Pokemon on the field (such as Gravity Hail Rain Dance Sandstorm and Sunny Day) moves that can bypass Protect (Acupressure Doom Desire Future Sight Imprison Perish Song Psych Up Role Play and Transform) and moves that do not have a specific target (such as Light Screen Reflect Safeguard Spikes Stealth Rock and Toxic Spikes).,Flying,Status,0,,20
120,Selfdestruct,Causes the user to faint.,Normal,Physical,200,100%,5
121,Egg Bomb,Deals damage with no additional effect.,Normal,Physical,100,75%,10
122,Lick,Has a 30% chance to paralyze the target.,Ghost,Physical,20,100%,30
123,Smog,Has a 40% chance to poison the target.,Poison,Special,20,70%,20
124,Sludge,Has a 30% chance to poison the target.,Poison,Special,65,100%,20
125,Bone Club,Has a 10% chance to make the target flinch.,Ground,Physical,65,85%,20
126,Fire Blast,Has a 10% chance to burn the target.,Fire,Special,120,85%,5
127,Waterfall,Has a 20% chance to make the target flinch.,Water,Physical,80,100%,15
128,Clamp,Traps the target for 5-6 turns causing damage equal to 1/16 of its max HP each turn; this trapped effect can be broken by Rapid Spin. The target can still switch out if it is holding Shed Shell or uses Baton Pass or U-Turn.,Water,Physical,35,85%,10
129,Swift,Ignores Evasion and Accuracy modifiers and never misses except against Protect Detect or a target in the middle of Dig Fly Dive or Bounce.,Normal,Special,60,101%,20
130,Skull Bash,The user prepares on turn one raising its Defense by 1 stage and becoming uncontrollable and then attacks on turn two.,Normal,Physical,100,100%,15
131,Spike Cannon,Attacks 2-5 times in one turn; if one of these attacks breaks a target's Substitute the target will take damage for the rest of the hits. This move has a 3/8 chance to hit twice a 3/8 chance to hit three times a 1/8 chance to hit four times and a 1/8 chance to hit five times. If the user of this move has Skill Link this move will always strike five times.,Normal,Physical,20,100%,15
132,Constrict,Has a 10% chance to lower the target's Speed by 1 stage.,Normal,Physical,10,100%,35
133,Amnesia,Raises the user's Special Defense by 2 stages.,Psychic,sd+,0,,20
134,Kinesis,Lowers the target's Accuracy by 1 stage.,Psychic,acc-,0,80%,15
135,Softboiled,Restores 1/2 of the user's max HP.,Normal,d+,0,100%,10
136,Hi Jump Kick,If this attack misses the target the user half of its max health in recoil damage.,Fighting,Physical,130,90%,10
137,Glare,Paralyzes the target.,Normal,s-,0,90%,30
138,Dream Eater,Restores the user's HP by 1/2 of the damage inflicted on the target but only works on a sleeping target.,Psychic,Special,100,100%,15
139,Poison Gas,Poisons the target.,Poison,d-,0,90%,40
140,Barrage,Attacks 2-5 times in one turn; if one of these attacks breaks a target's Substitute the target will take damage for the rest of the hits. This move has a 3/8 chance to hit twice a 3/8 chance to hit three times a 1/8 chance to hit four times and a 1/8 chance to hit five times. If the user of this move has Skill Link this move will always strike five times.,Normal,Physical,15,85%,20
141,Leech Life,Restores the user's HP by 1/2 of the damage inflicted on the target.,Bug,Physical,20,100%,15
142,Lovely Kiss,Puts the target to sleep.,Normal,s-,0,75%,10
143,Sky Attack,The user prepares on turn one becoming uncontrollable and then attacks on turn two. Also has a 30% chance to make the target flinch.,Flying,Physical,140,90%,5
144,Transform,The user morphs into a near-exact copy of the target. Stats stat modifiers type moves Hidden Power data and appearance are changed; the user's level and HP remain the same and each copied move receives only 5 PP. (If Transform is used by Ditto the effects of Metal Powder and Quick Powder stop working after transformation.),Normal,Status,0,,10
145,Bubble,Has a 10% chance to lower the target's Speed by 1 stage.,Water,Special,20,100%,30
146,Dizzy Punch,Has a 20% chance to confuse the target.,Normal,Physical,70,100%,10
147,Spore,Puts the target to sleep.,Grass,s-,0,100%,15
148,Flash,Lowers the target's Accuracy by 1 stage.,Normal,acc-,0,100%,20
149,Psywave,Randomly inflicts set damage equal to .5x .6x .7x .8x .9x 1.0x 1.1x 1.2x 1.3x 1.4x or 1.5x the user's level.,Psychic,Special,50,80%,15
150,Splash,Doesn't do anything (but we still love it). Unfortunately it also cannot be used during the effects of Gravity! :(,Normal,Status,0,,40
151,Acid Armor,Raises the user's Defense by 2 stages.,Poison,d+,0,,40
152,Crabhammer,Has a high critical hit ratio.,Water,Physical,90,90%,10
153,Explosion,Causes the user to faint.,Normal,Physical,250,100%,5
154,Fury Swipes,Attacks 2-5 times in one turn; if one of these attacks breaks a target's Substitute the target will take damage for the rest of the hits. This move has a 3/8 chance to hit twice a 3/8 chance to hit three times a 1/8 chance to hit four times and a 1/8 chance to hit five times. If the user of this move has Skill Link this move will always strike five times.,Normal,Physical,18,80%,15
155,Bonemerang,Strikes twice; if the first hit breaks the target's Substitute the real Pokemon will take damage from the second hit.,Ground,Physical,50,90%,10
156,Rest,The user is cured of status effects (and confusion) and recovers full HP but falls asleep for 2 turns. Pokemon who have Early Bird will wake up one turn early.,Psychic,d+,0,,10
157,Rock Slide,Has a 30% chance to make the target flinch.,Rock,Physical,75,90%,10
158,Hyper Fang,Has a 10% chance to make the target flinch.,Normal,Physical,80,90%,15
159,Sharpen,Raises the user's Attack by 1 stage.,Normal,a+,0,,30
160,Conversion,The user's type changes to match the type of one of its four attacks. This move fails if the user cannot change its type under this condition.,Normal,Status,0,,30
161,Tri Attack,Has a 20% chance to burn paralyze or freeze the target.,Normal,Special,80,100%,10
162,Super Fang,This move halves the target's current HP.,Normal,Physical,50,90%,10
163,Slash,Has a high critical hit ratio.,Normal,Physical,70,100%,20
164,Substitute,The user takes one-fourth of its maximum HP to create a substitute; this move fails if the user does not have enough HP for this. Until the substitute is broken it receives damage from all attacks made by other Pokemon and shields the user from status effects and stat modifiers caused by other Pokemon. The user is still affected by Tickle Hail Sandstorm and Attract from behind its Substitute. If a Substitute breaks from a hit during a multistrike move such as Fury Attack the user takes damage from the remaining strikes.,Normal,d+,0,,10
165,Struggle,Used automatically when all of the user's other moves have run out of PP or are otherwise inaccessible. The user receives recoil damage equal to 1/4 of its max HP. Struggle is classified as a typeless move and will hit any Pokemon for normal damage.,Typeless,Physical,50,100%,1
166,Sketch,The user permanently replaces Sketch with the last move used by the target. Sketch cannot copy itself Chatter Memento or Struggle. Transform and moves that generate other moves can be Sketched successfully as can Explosion and Selfdestruct if a Pokemon with Damp is present. Healing Wish and Lunar Dance can be Sketched because they automatically fail when the user is the last Pokemon of its team. This move fails automatically when selected in wireless or Wi-Fi battles.,Normal,Status,0,,1
167,Triple Kick,Attacks three times in one turn adding 10 BP for each kick. If a kick misses the move ends instantly; if one of the kicks breaks a target's Substitute the real Pokemon will take damage for the remaining kicks.,Fighting,Physical,10,90%,10
168,Thief,Steals the target's held item unless the user is already holding an item or the target has Sticky Hold or Multitype. A stolen item cannot be recovered by using Recycle.,Dark,Physical,40,100%,10
169,Spider Web,As long as the user remains in battle the target cannot switch out unless it is holding Shed Shell or uses Baton Pass or U-Turn. The target will still be trapped if the user switches out by using Baton Pass.,Bug,Status,0,100%,10
170,Mind Reader,This move ensures that the user's next attack will hit against its current target. This effect can be Baton Passed to another Pokemon. Mind Reader fails against Pokemon in the middle of using Protect Detect Dig Fly Bounce or Dive as well as Pokemon behind a Substitute. If the target uses Protect or Detect during its next turn the user's next move has a [100 Varmove's normal accuracy]% chance to hit through Protect or Detect. OHKO moves do not benefit from this trait.,Normal,Status,0,100%,5
171,Nightmare,This move only works on a sleeping target; as long as the target remains asleep and in battle 1/4 of its max HP is sapped after each turn.,Ghost,Status,0,100%,15
172,Flame Wheel,Has a 10% chance to burn the target; can be used while frozen which both attacks the target normally and thaws the user.,Fire,Physical,60,100%,25
173,Snore,Has a 30% chance to make the target flinch; fails if user is awake.,Normal,Special,40,100%,15
174,Curse,When used by a Ghost-type the user sacrifices half of its max HP to sap the target by 1/4 of its max HP per turn. When used by anything else the user's Speed is decreased by 1 stage and its Attack and Defense are increased by 1 stage.,Ghost,a-,0,,10
175,Flail,Base power increases as the user's HP decreases.,Normal,Physical,50,100%,15
176,Conversion 2,The user's type changes to one that resists the type of the last attack that hit the user. In double battles this situation holds even when the user is last hit by an attack from its partner.,Normal,Status,0,100%,30
177,Aeroblast,Has a high critical hit ratio.,Flying,Special,100,95%,5
178,Cotton Spore,Lowers the target's Speed by 2 stages.,Grass,s-,0,100%,40
179,Reversal,Base power increases as the user's HP decreases.,Fighting,Physical,50,100%,15
180,Spite,The target's most recent move is reduced by 4 PP; this fails if the target has not yet performed a move if the target's last move has run out of PP or if the target can only use Struggle.,Ghost,d-,0,100%,10
181,Powder Snow,Has a 10% chance to freeze the target.,Ice,Special,40,100%,25
182,Protect,Almost always goes first. The user is protected from all attacks for one turn but the move's success rate halves with each consecutive use of Protect Detect or Endure. If a Pokemon has No Guard or used Lock-On or Mind Reader against the user during the previous turn its attack has a [100 Varmove's normal accuracy]% chance to hit through Protect; OHKO moves do not benefit from this effect. Blizzard has a 30% to hit through this move during Hail as does Thunder during Rain Dance.,Normal,d+,0,,10
183,Mach Punch,Usually goes first.,Fighting,Physical,40,100%,30
184,Scary Face,Lowers the target's Speed by 2 stages.,Normal,s-,0,90%,10
185,Faint Attack,Ignores Evasion and Accuracy modifiers and never misses except against Protect Detect or a target in the middle of Dig Fly Dive or Bounce.,Dark,Physical,60,101%,20
186,Sweet Kiss,Confuses the target.,Normal,d-,0,75%,10
187,Belly Drum,The user maximizes its Attack but sacrifices 50% of its max HP.,Normal,a+,0,,10
188,Sludge Bomb,Has a 30% chance to poison the target.,Poison,Special,90,100%,10
189,Mud-Slap,Has a 30% chance to lower the target's Accuracy by 1 stage.,Ground,Special,20,100%,10
190,Octazooka,Has a 50% chance to lower the target's Accuracy by 1 stage.,Water,Special,65,85%,10
191,Spikes,Damages opponents unless they are Flying-type or have Levitate every time they are switched in; hits through Wonder Guard. Can be used up to three times: saps 1/8 of max HP with one layer 3/16 of max HP with two layers and 1/4 of max HP for three layers.,Ground,Status,0,,20
192,Zap Cannon,Paralyzes the target.,Electric,Special,120,50%,5
193,Foresight,Until the target faints or switches the user's Accuracy modifiers and the target's Evasion modifiers are ignored. Ghost-type targets also lose their immunities against Normal-type and Fighting-type moves.,Normal,Status,0,100%,40
194,Destiny Bond,Causes an opponent to faint if its next attack KOs the user.,Ghost,Status,0,,5
195,Perish Song,All active Pokemon will faint in 3 turns unless they are switched out.,Normal,Status,0,,5
196,Icy Wind,Lowers the target's Speed by 1 stage.,Ice,Special,55,95%,15
197,Detect,Almost always goes first. The user is protected from all attacks for one turn but the move's success rate halves with each consecutive use of Protect Detect or Endure. If a Pokemon has No Guard or used Lock-On or Mind Reader against the user during the previous turn its attack has a [100 Varmove's normal accuracy]% chance to hit through Detect; OHKO moves do not benefit from this effect. Blizzard has a 30% to hit through this move during Hail as does Thunder during Rain Dance.,Fighting,Status,0,,5
198,Bone Rush,Attacks 2-5 times in one turn; if one of these attacks breaks a target's Substitute the target will take damage for the rest of the hits. This move has a 3/8 chance to hit twice a 3/8 chance to hit three times a 1/8 chance to hit four times and a 1/8 chance to hit five times. If the user of this move has Skill Link this move will always strike five times.,Ground,Physical,25,80%,10
199,Lock-On,This move ensures that the user's next attack will hit against its current target. This effect can be Baton Passed to another Pokemon. Lock-On fails against Pokemon in the middle of using Protect Detect Dig Fly Bounce or Dive as well as Pokemon behind a Substitute. If the target uses Protect or Detect during its next turn the user's next move has a [100 Varmove's normal accuracy]% chance to hit through Protect or Detect. OHKO moves do not benefit from this trait.,Normal,Status,0,100%,5
200,Outrage,The user attacks uncontrollably for 2-3 turns and then gets confused.,Dragon,Physical,120,100%,15
201,Sandstorm,Cancels all other weather moves. For 5 turns: the Special Defense of Rock-type Pokemon is boosted by 50% each active Pokemon even when protected by a Substitute loses 1/16 of its max HP unless it has Sand Veil or is a Ground- Rock- or Steel-type the power of Solarbeam is halved and the healing power of Morning Sun Synthesis and Moonlight is halved. The effects of Sandstorm will last for eight turns if its user is holding Smooth Rock.,Rock,Status,0,,10
202,Giga Drain,Restores the user's HP by 1/2 of the damage inflicted on the target.,Grass,Special,75,100%,10
203,Endure,Almost always goes first. The user is left with at least 1 HP following any attacks for one turn but the move's success rate halves with each consecutive use of Protect Detect or Endure.,Normal,Status,0,,10
204,Charm,Lowers the target's Attack by 2 stages.,Normal,Status,0,100%,20
205,Rollout,The user attacks uncontrollably for five turns; this move's power doubles after each turn and also if Defense Curl was used beforehand. Its power resets after five turns have ended or if the attack misses.,Rock,Physical,30,90%,20
206,False Swipe,Leaves the target with at least 1 HP.,Normal,Physical,40,100%,40
207,Swagger,Confuses the target and raises its Attack by 2 stages.,Normal,a-,0,90%,15
208,Milk Drink,Restores 1/2 of the user's max HP.,Normal,Status,0,,10
209,Spark,Has a 30% chance to paralyze the target.,Electric,Physical,65,100%,20
210,Fury Cutter,The base power of this move doubles with each consecutive hit; however power is capped at a maximum 160 BP and remains there for any subsequent uses. If this move misses base power will be reset to 10 BP on the next turn. The user can also select other attacks without resetting this move's power; it will continue to double after each use until it either misses or reaches the 160 BP cap.,Bug,Physical,20,95%,20
211,Steel Wing,Has a 10% chance to raise the user's Defense by 1 stage.,Steel,Physical,70,90%,25
212,Mean Look,As long as the user remains in battle the target cannot switch out unless it is holding Shed Shell or uses Baton Pass or U-Turn. The target will still be trapped if the user switches out by using Baton Pass.,Normal,Status,0,100%,5
213,Attract,Infatuates Pokemon of the opposite gender even if they have a Substitute causing a 50% chance for the target's attack to fail.,Normal,Status,0,100%,15
214,Sleep Talk,Does nothing if the user is awake. If the user asleep it randomly performs one of its attacks. Rest will fail if it is selected. Sleep Talk's generated attacks do not cost PP but it cannot generate moves with 0 PP itself Assist Bide Chatter Copycat Disabled attacks Focus Punch Me First Metronome Mirror Move Uproar or attacks with a charge-up turn like Fly or Skull Bash. (Moves with a recharge turn like Hyper Beam can be generated.),Normal,Status,0,,10
215,Heal Bell,Every Pokemon in the user's party is cured of status conditions. Allied Pokemon who have Soundproof are not affected.,Normal,Status,0,,5
216,Return,Power increases as user's happiness increases; maximum 102 BP.,Normal,Physical,50,100%,20
217,Present,Randomly either attacks with a variable power between 40 base power and 120 base power or heals the target by 80 HP.,Normal,Physical,50,90%,15
